created_at,username,acctdesc,location,total_tweets_created,account_creation_date,retweetcounts,hashtags,tweet_text
2021-03-31 13:51:59,nabpac,NABPAC is the nation's only trade association solely dedicated to promoting and defending PACs and providing ongoing education and compliance services.,"Washington, DC",1167,2011-02-08 18:51:05,1,"[{'text': 'COVIDFatigue', 'indices': [4, 17]}, {'text': 'PAC', 'indices': [142, 146]}, {'text': 'CompassionateComms', 'indices': [225, 244]}, {'text': 'PACs', 'indices': [245, 250]}, {'text': 'MemberCommunications', 'indices': [251, 272]}]",Got #COVIDFatigue? Then your company employees probably do too. How can you continue to communicate in an empathetic way while advancing your #PAC goals? Find 20 creative ways to serve employees here: https://t.co/sdbYCH7xL1 #CompassionateComms #PACs #MemberCommunications
2021-03-31 12:54:58,mh_innovations,Transforming workplace mental health through the power of human connection. https://t.co/YIQlOZI4c3,,60,2020-07-13 16:00:26,0,"[{'text': 'mentalhealth', 'indices': [126, 139]}, {'text': 'MentalHealthMatters', 'indices': [140, 160]}, {'text': 'supportyourpeople', 'indices': [161, 179]}, {'text': 'employeewellbeing', 'indices': [180, 198]}, {'text': 'empathy', 'indices': [199, 207]}, {'text': 'leadership', 'indices': [208, 219]}, {'text': 'management', 'indices': [220, 231]}, {'text': 'humanresources', 'indices': [232, 247]}, {'text': 'covidfatigue', 'indices': [248, 261]}, {'text': 'culture', 'indices': [262, 270]}, {'text': 'stress', 'indices': [271, 278]}]","(2/2) 

Learn more about how to support someone who is struggling and create a caring work culture: https://t.co/4Vjd9TS8Q2 

#mentalhealth #MentalHealthMatters #supportyourpeople #employeewellbeing #empathy #leadership #management #humanresources #covidfatigue #culture #stress"
2021-03-31 12:20:00,senexy27,Dreams are just lies that we tell ourselves while we're asleep.,City of Bridges,35466,2019-12-20 13:37:28,0,"[{'text': 'Easter', 'indices': [61, 68]}, {'text': 'covidfatigue', 'indices': [130, 143]}]","The way I look at it, people are going to gather in Ont. for #Easter regardless of what @fordnation says. People are experiencing #covidfatigue"
2021-03-31 11:33:06,data4all,COVID survivor! Internet of Things&#SmartAging thought leader. Wrote The Future Is Smart&Data Dynamite. Bookworm. Swamp Yankee. Enviro. Twitter user #2654 ENFP,"Massachusetts, USA",88877,2006-07-20 15:06:21,0,"[{'text': 'COVIDfatigue', 'indices': [41, 54]}]",Anyone else stressed 2 breaking point by #COVIDfatigue? My wife &amp; I can’t get good night sleep &amp; have terrible time focusing
2021-03-31 11:31:22,thenihilistkier,"2ft 38 inches tall. 🏳️‍🌈🇨🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿 
#NewsJunkie #thoughtblog & #opinions you never asked for. 
Live aloha 🤙",Probably with the birds ,1405,2016-06-12 15:46:55,0,"[{'text': 'Easter2021', 'indices': [34, 45]}, {'text': 'CovidFatigue', 'indices': [115, 128]}, {'text': 'vaccines', 'indices': [138, 147]}, {'text': 'vaccinated', 'indices': [179, 190]}, {'text': 'lockdown', 'indices': [196, 205]}]","$10 says he waits until after the #Easter2021 weekend.

Also, it's this type of back&amp;forth that is heightening #CovidFatigue. Fix the #vaccines rollout campaign, get our pop. #vaccinated, and #lockdown indoor spaces / gatherings. 
https://t.co/SkTPCNPW6U"
2021-03-31 11:16:39,NJeriHinga1,"I love OceaN colourS🌅🌴 Actress👩‍🎤,Model💃,socialSpeaker🎤 and ContentCreator📝.#younique#gemini",,17,2021-02-08 18:33:34,2,"[{'text': 'UnlockOurCountry', 'indices': [17, 34]}, {'text': 'PandemicFatigue', 'indices': [52, 68]}, {'text': 'PandemicApathy', 'indices': [69, 84]}]","#UnlockOurCountry is a global cry.
#PandemicFatigue
#PandemicApathy https://t.co/L4zi062UtC"
2021-03-31 10:38:34,nonisworld,Entrepreneur,Nairobi,6503,2011-12-03 16:05:23,2,"[{'text': 'UnlockOurCountry', 'indices': [17, 34]}, {'text': 'PandemicFatigue', 'indices': [52, 68]}, {'text': 'PandemicApathy', 'indices': [69, 84]}]","#UnlockOurCountry is a global cry.
#PandemicFatigue
#PandemicApathy https://t.co/L4zi062UtC"
2021-03-31 10:33:33,musya_james,"Time Person of the Year 2006
 || E* ~ Engage.. Educate.. Empower || Perpetually Curious || Lean Launchpad || Business Dev ||To List by Introduction June11,2026",Jamhuri ,11295,2010-11-04 05:13:19,2,"[{'text': 'UnlockOurCountry', 'indices': [0, 17]}, {'text': 'PandemicFatigue', 'indices': [35, 51]}, {'text': 'PandemicApathy', 'indices': [52, 67]}]","#UnlockOurCountry is a global cry.
#PandemicFatigue
#PandemicApathy https://t.co/L4zi062UtC"
2021-03-31 09:00:49,AgeingWellBH,"We help people aged 50+ in Brighton & Hove find activities, groups, trips, befriending, and information in order to get the best from life.
T:  07770 061 072",Brighton & Hove,2520,2019-08-21 09:38:48,0,"[{'text': 'brightonandhove', 'indices': [96, 112]}, {'text': 'letsconnect', 'indices': [113, 125]}, {'text': 'communitysupport', 'indices': [126, 143]}, {'text': '50plusandfabulous', 'indices': [144, 162]}, {'text': 'loneliness', 'indices': [163, 174]}, {'text': 'covidfatigue', 'indices': [175, 188]}, {'text': 'isolationlife', 'indices': [189, 203]}, {'text': 'isolationcreation', 'indices': [204, 222]}, {'text': 'thingstodo', 'indices': [223, 234]}, {'text': 'activities', 'indices': [235, 246]}]","Download your activity pack now courtesy of The Hop 50+ Community team. https://t.co/cbh3EKBiKI
#brightonandhove #letsconnect #communitysupport #50plusandfabulous #loneliness #covidfatigue #isolationlife #isolationcreation #thingstodo #activities https://t.co/RXlc0pKTOL"
2021-03-31 08:41:58,LevelUpEdu1,#LevelUpEdu 501c3 Non-Profit Edu. #Technology. Equity. Curriculum. Leadership. Coaching. Lesson Design. #Inclusion. Blended. Virtual school. #ProjectBased.,"Houston, TX",7061,2020-09-01 01:46:00,1,"[{'text': 'moms', 'indices': [33, 38]}, {'text': 'PandemicFatigue', 'indices': [42, 58]}]","Special 🙏🏽 for all #moms! 💗
#PandemicFatigue Is Especially Real for Moms - Motherly

Four reasons:

1. Multi tasking fatigue
2. Compassion fatigue
3. Zoom fatigue
4. Decision making fatigue
 https://t.co/nvMz89PpM3"
2021-03-31 08:05:15,khechara,change-agent. critical-thinker. literacy-leader. lifelong-learner. curriculum-designer. instructional-engineer. #leadlearner 🎙https://t.co/i0LP4jh5xm,"Providence, RI",44120,2014-08-06 10:11:55,1,"[{'text': 'moms', 'indices': [19, 24]}, {'text': 'PandemicFatigue', 'indices': [28, 44]}]","Special 🙏🏽 for all #moms! 💗
#PandemicFatigue Is Especially Real for Moms - Motherly

Four reasons:

1. Multi tasking fatigue
2. Compassion fatigue
3. Zoom fatigue
4. Decision making fatigue
 https://t.co/nvMz89PpM3"
2021-03-31 04:34:30,ma1208an,"fb: https://t.co/bxRikAnJMa…

ig: https://t.co/eDKUAKAa95

yt: https://t.co/xPDZYOS63S",,371306,2009-04-11 01:37:09,1,"[{'text': 'pandemicblues', 'indices': [61, 75]}]","The cirle is getting smaller by the day! 

#pandemicblues"
2021-03-31 04:32:21,reallyrabbit,"In this fangirling world, MAINE @mainedcm is my CONSTANT. 👸 KDrama, now a variable 😉",,398199,2009-05-15 03:02:21,1,"[{'text': 'pandemicblues', 'indices': [43, 57]}]","The cirle is getting smaller by the day! 

#pandemicblues"
2021-03-31 03:53:00,Morgan_Myler,"Those that lead people must do so without ego. They must step forward with understanding, compassion, humility and strength.",Canada,6039,2010-08-05 18:54:56,2,[],Update...... more tickets - the sign only saved me from 1 day of tickets. And.....it’s all from the same parking person 😳😥 ugh. #childlife #frontlineworkers #healthcare #parkinghell #pandemicfatigue #Toronto #torontoparkingauthority #evil https://t.co/yo9uziT2sh
2021-03-31 01:47:57,woolybulldog,"Twitter Legend, Poet, International Whopper Eating Champion, Voted Most Likely to Drop an F Bomb at Church by a Group of My Peers. I Like Aardvarks.","Michigan, USA",11722,2015-12-07 03:10:24,0,"[{'text': 'Covidfatigue', 'indices': [12, 25]}]",I think the #Covidfatigue is really starting to drive me bat shit crazy.
2021-03-30 09:26:44,cjaisree,"Ardent cricket lover, love carnatic music",,22857,2010-03-17 09:17:08,0,"[{'text': 'CovidFatigue', 'indices': [0, 13]}]",#CovidFatigue fast catching up with everyone .. can’t go out .. won’t go out .. now not interested to go out 😃😃
2021-03-30 08:38:43,rosco1956,Loves life. Up for most things. Fascinated by people. Friends and Family are the most important. 🎗️,Southampton UK,1647,2011-04-07 21:17:20,4,[],"Is anyone else feeling pandemic fatigue? We know we are! Here are 5 helpful tips to help you manage it 👇💭

#pandemicfatigue #mentalhealth https://t.co/RMoknPyi1d"
2021-03-30 08:35:00,JoannaTuppen,All things legal. Trust law. Psychoanalysis. Retweets are not an endorsement., England,41962,2010-08-27 19:58:29,4,[],"Is anyone else feeling pandemic fatigue? We know we are! Here are 5 helpful tips to help you manage it 👇💭

#pandemicfatigue #mentalhealth https://t.co/RMoknPyi1d"
